id,brand,series,weight,ram,price,graphics,disk,battery,display,processor,max_memory,url,weight_norm,ram_norm,price_norm,graphics_norm,disk_norm,battery_norm,display_norm,processor_norm,max_memory_norm,image_url,rating
23,Lenovo,IdeaPad Slim 5 Pro,1.41,16,75705,0,512,10,14,2.8,16,https://amazon.in/Lenovo-IdeaPad-Graphics-Windows-82L3006YIN/dp/B09NBMR8HZ/ref=sr_1_104?keywords=laptop&qid=1654755266&sr=8-104,1.176165803,2,1.574381443,1,1.466666667,1.6,1.387391967,1.472222222,1.428571429,https://images-eu.ssl-images-amazon.com/images/I/514-TVQweyL._SX300_SY300_QL70_ML2_.jpg,3.9 out of 5 stars
24,Lenovo,IdeaPad 3 15ITL05,1.7,8,52990,0,512,8,15.6,4.2,12,https://amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81X800J1IN/dp/B09Y5V7BFH/ref=sr_1_105?keywords=laptop&qid=1654755266&sr=8-105,1.32642487,1.333333333,1.340206186,1,1.466666667,1.4,1.645653279,1.861111111,1.285714286,https://images-eu.ssl-images-amazon.com/images/I/41PnIUzyYML._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars
25,Lenovo,LENOVO V15 SERIES,1.7,8,27850,0,512,5.5,15.6,1.1,12,https://amazon.in/Lenovo-Celeron-Laptop-Warranty-82C30052IH/dp/B09HHL3BNR/ref=sr_1_106?keywords=laptop&qid=1654755266&sr=8-106,1.32642487,1.333333333,1.081030928,1,1.466666667,1.15,1.645653279,1,1.285714286,https://images-eu.ssl-images-amazon.com/images/I/41oEEhnbgbL._SY300_SX300_QL70_ML2_.jpg,3.5 out of 5 stars
26,ASUS,TUF Gaming F15 (2022),2.2,4,116990,4,512,10,17.79527559,4.7,32,https://amazon.in/ASUS-15-6-inch-i7-12700H-RTX-3050-FX507ZE-HN038W/dp/B09TTFTFQH/ref=sr_1_107?keywords=laptop&qid=1654755266&sr=8-107,1.585492228,1,2,1.25,1.466666667,1.6,2,2,2,https://images-eu.ssl-images-amazon.com/images/I/41yb65OSkBL._SX300_SY300_QL70_ML2_.jpg,4.2 out of 5 stars
27,HP,Chromebook 11a-na0005MU,1.07,4,19990,4,64,12,11.6,2,4,https://amazon.in/HP-Chromebook-11-6-inch-Touchscreen-11a-na0002MU/dp/B08WPNPTDD/ref=sr_1_108?keywords=laptop&qid=1654755266&sr=8-108,1,1,1,1.25,1,1.8,1,1.25,1,https://images-eu.ssl-images-amazon.com/images/I/41vPVaFL41L._SX300_SY300_QL70_ML2_.jpg,3.7 out of 5 stars
28,ASUS,X543MA-DM101T,1.8,4,26990,0,1024,4,15.6,1.1,12,https://amazon.in/ASUS-Pentium-Quad-Core-X543MA-DM101T/dp/B09QJY7SHG/ref=sr_1_109?keywords=laptop&qid=1654755266&sr=8-109,1.378238342,1,1.072164948,1,2,1,1.645653279,1,1.285714286,https://images-eu.ssl-images-amazon.com/images/I/41YCSmNiy5S._SY300_SX300_QL70_ML2_.jpg,3.7 out of 5 stars
29,ASUS,Vivobook 15 (2022),1.7,8,57490,0,512,8,17.79527559,4.4,24,https://amazon.in/ASUS-Vivobook-Intel-Core-i5-1240P-Graphics-X1502ZA-EJ502WS/dp/B09YHCP9D4/ref=sr_1_110?keywords=laptop&qid=1654755266&sr=8-110,1.32642487,1.333333333,1.386597938,1,1.466666667,1.4,2,1.916666667,1.714285714,https://images-eu.ssl-images-amazon.com/images/I/41XpzEWOBfL._SX300_SY300_QL70_ML2_.jpg,4.0 out of 5 stars
30,Acer,Aspire 3,1.9,8,35900,0,512,8,15.6,2.6,8,https://amazon.in/Acer-Aspire-Ryzen-Processor-Laptop/dp/B09S3RRTPH/ref=sr_1_111?keywords=laptop&qid=1654755266&sr=8-111,1.430051813,1.333333333,1.164020619,1,1.466666667,1.4,1.645653279,1.416666667,1.142857143,https://images-eu.ssl-images-amazon.com/images/I/412v2H9aT3L._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars
31,HP,15s-fq5009TU,1.69,8,57490,0,512,8,15.6,4.4,16,https://amazon.in/HP-Anti-Glare-Micro-Edge-Graphics-15s-fq5009TU/dp/B0B1M9V5KT/ref=sr_1_112?keywords=laptop&qid=1654755266&sr=8-112,1.321243523,1.333333333,1.386597938,1,1.466666667,1.4,1.645653279,1.916666667,1.428571429,https://images-eu.ssl-images-amazon.com/images/I/41Au3nhV4DL._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars
32,HP,laptop,1.46,4,23990,4,64,8,14.01574803,1.1,32,https://amazon.in/HP-Chromebook-14a-na0002TU-Integrated-Graphics/dp/B08C5WLK3P/ref=sr_1_113?keywords=laptop&qid=1654755268&sr=8-113,1.202072539,1,1.041237113,1.25,1,1.4,1.38993391,1,2,https://images-eu.ssl-images-amazon.com/images/I/412kIHtF7TL._SX300_SY300_QL70_ML2_.jpg,3.8 out of 5 stars
