id,brand,series,weight,ram,price,graphics,disk,battery,display,processor,max_memory,url,image_url,rating,weight_norm,ram_norm,price_norm,graphics_norm,disk_norm,battery_norm,display_norm,processor_norm,max_memory_norm
20,HP,Eq2143AU,1.69,8.0,37849.0,0.0,512.0,6.9,15.6,3.8,16.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06028451XZW3A719E10X&url=%2FMicro-Edge-Anti-Glare-Graphics-Speakers-15S-Eq2143Au%2Fdp%2FB09R1MMMTH%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489478%26sr%3D8-22-spons%26psc%3D1&qualifier=1656489478&id=4413978530269379&widgetName=sp_btf,https://m.media-amazon.com/images/I/516+4J0tZlL._SY300_SX300_.jpg,3.7 out of 5 stars,1.373153921890384,1.0551181102362204,1.1294062899910808,1.0,1.2440944881889764,1.3483870967741935,1.6990825688073392,1.7567567567567566,1.2
21,Dell,laptop,1.59,4.0,37490.0,0.0,1024.0,4.0,15.6,4.1,16.0,https://amazon.in/Dell-Vostro-3400-Integrated-D552164WIN9DE/dp/B097SZXLCB/ref=sr_1_19?keywords=laptop&qid=1656489481&sr=8-19,https://m.media-amazon.com/images/I/41NPo+SASeL._SY300_SX300_.jpg,4.2 out of 5 stars,1.3403347554972105,1.0236220472440944,1.127417469489056,1.0,1.4960629921259845,1.1612903225806452,1.6990825688073392,1.8378378378378373,1.2
22,Lenovo,laptop,1.7,8.0,45990.0,2.0,512.0,8.0,15.6,1.6,12.0,https://amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81WB01BPIN/dp/B09JC1WJ5L/ref=sr_1_20?keywords=laptop&qid=1656489481&sr=8-20,https://images-eu.ssl-images-amazon.com/images/I/41PnIUzyYML._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars,1.3764358385297013,1.0551181102362204,1.1745065343002288,1.015625,1.2440944881889764,1.4193548387096775,1.6990825688073392,1.1621621621621625,1.1333333333333333
23,Acer,laptop,1.7,4.0,31790.0,8.0,2048.0,8.0,15.6,4.1,12.0,https://amazon.in/Acer-Aspire-Generation-15-6-inch-Laptop/dp/B09NBNS59C/ref=sr_1_21?keywords=laptop&qid=1656489481&sr=8-21,https://images-eu.ssl-images-amazon.com/images/I/41eU2yRiQ5L._SY300_SX300_QL70_ML2_.jpg,4.2 out of 5 stars,1.3764358385297013,1.0236220472440944,1.0958400966156812,1.0625,2.0,1.4193548387096775,1.6990825688073392,1.8378378378378373,1.1333333333333333
24,Dell,laptop,1.71,8.0,23766.0,0.0,256.0,6.9,14.1,3.3,16.0,https://amazon.in/Renewed-Dell-Latitude-Laptop-E5470/dp/B094CBQ32N/ref=sr_1_22?keywords=laptop&qid=1656489481&sr=8-22,https://images-eu.ssl-images-amazon.com/images/I/419x1ps8aFL._SY300_SX300_QL70_ML2_.jpg,3.9 out of 5 stars,1.3797177551690187,1.0551181102362204,1.051388019433934,1.0,1.1181102362204725,1.3483870967741935,1.4934700485698866,1.6216216216216215,1.2
25,HP,laptop,1.05,4.0,19399.0,0.0,64.0,4.0,11.6,2.0,4.0,https://amazon.in/HP-Chromebook-MediaTek-Touchscreen-11a-na0004MU/dp/B09GKQRLF2/ref=sr_1_23?keywords=laptop&qid=1656489481&sr=8-23,https://images-eu.ssl-images-amazon.com/images/I/41cZHPDWKSL._SX300_SY300_QL70_ML2_.jpg,3.7 out of 5 stars,1.163111256974073,1.0236220472440944,1.0271953199009467,1.0,1.0236220472440944,1.1612903225806452,1.1507825148407986,1.2702702702702702,1.0
26,HP,laptop,2.27,8.0,20999.0,0.0,512.0,6.9,14.0,3.3,16.0,https://amazon.in/HP-EliteBook-Notebook-A10-8700B-Professional/dp/B07JNH1XQJ/ref=sr_1_24?keywords=laptop&qid=1656489481&sr=8-24,https://images-eu.ssl-images-amazon.com/images/I/41IFRDBqjGL._SX300_SY300_QL70_ML2_.jpg,4.5 out of 5 stars,1.563505086970791,1.0551181102362204,1.0360591438654028,1.0,1.2440944881889764,1.3483870967741935,1.4797625472207232,1.6216216216216215,1.2
27,HP,laptop,2.1,8.0,38990.0,0.0,512.0,5.0,15.6,3.0,8.0,https://amazon.in/HP-i3-1115G4-Windows-Graphics-42V68PA/dp/B096G1V3RC/ref=sr_1_25?keywords=laptop&qid=1656489481&sr=8-25,https://images-eu.ssl-images-amazon.com/images/I/411Zf9v-U3S._SY300_SX300_QL70_ML2_.jpg,4.0 out of 5 stars,1.507712504102396,1.0551181102362204,1.1357273044557334,1.0,1.2440944881889764,1.2258064516129032,1.6990825688073392,1.5405405405405403,1.0666666666666669
28,Acer,EX215-54,1.7,4.0,30990.0,0.0,512.0,6.9,15.6,4.1,8.0,https://amazon.in/Acer-Extensa-11th-Intel-Laptop/dp/B09STHP9PX/ref=sr_1_26?keywords=laptop&qid=1656489481&sr=8-26,https://images-eu.ssl-images-amazon.com/images/I/41uXxOM7XmL._SX300_SY300_QL70_ML2_.jpg,4.3 out of 5 stars,1.3764358385297013,1.0236220472440944,1.0914081846334531,1.0,1.2440944881889764,1.3483870967741935,1.6990825688073392,1.8378378378378373,1.0666666666666669
29,Lenovo,laptop,1.65,8.0,52990.0,0.0,512.0,6.0,15.6,2.4,16.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A07025472Y6F8DRM313EI&url=%2FLenovo-IdeaPad-Windows-Warranty-82H802FHIN%2Fdp%2FB09Q5JGSX1%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489481%26sr%3D8-28-spons%26psc%3D1&qualifier=1656489481&id=6518756257622608&widgetName=sp_mtf,https://images-eu.ssl-images-amazon.com/images/I/51tbcILVglL._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars,1.3600262553331146,1.0551181102362204,1.213285764144724,1.0,1.2440944881889764,1.2903225806451613,1.6990825688073392,1.3783783783783785,1.2
