,Brand,Series,Weight,RAM,price,Graphics,Disk,Battery,Display,Processor,Max_Memory_Support,product_url
34,HP,,1.69,8,43490,,512,,15.6,4.1,16,https://amazon.in/HP-Processor-39-62cms-Integrated-15s-fr2006TU/dp/B08XNYH4LX/ref=sr_1_115?keywords=laptop&qid=1654755268&sr=8-115
35,Dell,Vostro 3510,1.8,8,40990,,,,,1.2,16,https://amazon.in/Dell-i3-1005G1-Office21-39-62Cms-ICC-D585033WIN8/dp/B09TNXCZ3T/ref=sr_1_116?keywords=laptop&qid=1654755268&sr=8-116
36,Lenovo,Ideapad Gaming 3i,2.2,8,54990,4,,7,15.6,2.5,16,https://amazon.in/Lenovo-IdeaPad-15-6-inch-Windows-81Y4017UIN/dp/B094XF92HG/ref=sr_1_117?keywords=laptop&qid=1654755268&sr=8-117
37,ASUS,Vivobook 14,1.6,8,37990,,512,6,15.9842519685039,4.1,12,https://amazon.in/ASUS-Vivobook-i3-1115G4-X415EA-EB322WS-Transparent/dp/B09R5PKLH8/ref=sr_1_118?keywords=laptop&qid=1654755268&sr=8-118
38,Lenovo,IdeaPad 1 11IGL05,1.2,4,28990,,,7,11.6,1.1,4,https://amazon.in/Lenovo-IdeaPad-Celeron-Platinum-81VT0071IN/dp/B09G9ZPV38/ref=sr_1_119?keywords=laptop&qid=1654755268&sr=8-119
39,Dell,VOSTRO 14 5415,1.4,8,53990,,,,14,2.1,16,https://amazon.in/Dell-14-Office21-5415-D552205WIN9S/dp/B09NLSCTQG/ref=sr_1_120?keywords=laptop&qid=1654755268&sr=8-120
40,Dell,Inspiron 3515,1.8,4,34990,,,,15.6,2.3,16,https://amazon.in/Dell-Office21-Inspiron-3515-D560702WIN9BE/dp/B09NLRSKV3/ref=sr_1_121?keywords=laptop&qid=1654755268&sr=8-121
41,ASUS,VivoBook 14 (2021),1.6,8,38790,,512,6,15.9842519685039,3.4,12,https://amazon.in/ASUS-VivoBook-i3-1005G1-Integrated-X415JA-EK562WS/dp/B09LJ3CY87/ref=sr_1_122?keywords=laptop&qid=1654755268&sr=8-122
42,ASUS,KM513UA-L503TS,1.8,8,60990,,1024,4,15.6,2.1,12,https://amazon.in/ASUS-VivoBook-OLED-Ryzen-5500U/dp/B09R2225VB/ref=sr_1_123?keywords=laptop&qid=1654755268&sr=8-123
43,HP,15-ec2146AX,1.98,16,79990,4,512,8,15.5905511811024,4.4,16,https://amazon.in/HP-Pavilion-Windows-Graphics-15-ec2146AX/dp/B09MF6F4GH/ref=sr_1_124?keywords=laptop&qid=1654755268&sr=8-124
44,HP,Chromebook 11a-na0005MU,1.07,4,19990,4,64,12,11.6,2,4,https://amazon.in/HP-Chromebook-11-6-inch-Touchscreen-11a-na0002MU/dp/B08WPNPTDD/ref=sr_1_125?keywords=laptop&qid=1654755268&sr=8-125
45,Dell,Inspiron 3515,1.8,8,40990,,,,,2.6,32,https://amazon.in/Dell-Inspiron-Ryzen3-3250U-Office21-D560795WIN9S/dp/B09TNWMSTN/ref=sr_1_126?keywords=laptop&qid=1654755268&sr=8-126
46,LG,,1.35,16,88490,,512,,17,2.8,16,https://amazon.in/LG-Gram-Intel-Light-Laptop/dp/B09MHV4CHB/ref=sr_1_127?keywords=laptop&qid=1654755268&sr=8-127
47,HP,15-ec2145AX,1.98,8,69990,4,512,8,15.5905511811024,4.2,16,https://amazon.in/HP-Pavilion-Windows-Graphics-15-ec2145AX/dp/B09MF6MD5L/ref=sr_1_128?keywords=laptop&qid=1654755268&sr=8-128
