,id,image_url,Brand,Manufacturer,Model,Model Year,Product Dimensions,Item model number,Ram Memory Installed Size,Operating System,Hardware Interface,Graphics Coprocessor,Resolution,Mounting Hardware,Number Of Items,Display Technology,Standing screen display size,Display Type,Supported Image Type,Screen Resolution,Audio Output Mode,Supported Audio Format,Speaker Surround Sound Channel Configuration,Power Source,Batteries Required,Refresh Rate,Connector Type,Mounting Type,Supports Bluetooth Technology,Country of Origin,Item Weight,product,rating,price,product_url,Batteries,Memory Storage Capacity,Viewing Angle,Image Aspect Ratio,Image Contrast Ratio,Audio Wattage,Batteries Included,Battery Cell Composition,Total Usb Ports,Remote Control Included?,Model Name,Tuner Technology,Special Features,Remote Control Description,Remote Control Type,Image Brightness,Voltage,Wattage,Maximum Operating Distance,Real Angle Of View,Media Format,Response Time,Includes Rechargable Battery,Compatible Devices,GSM frequencies,Processor Count,Aspect Ratio,Battery Power Rating,Digital Storage Capacity,Max Resolution,Package Dimensions,Battery Description,Battery Capacity,Audio Encoding,Audio Input,Imported By,Speakers Maximum Output Power,Speaker Connectivity,Contains Liquid Contents,Item part number,Maximum Memory Supported
180,61,https://images-eu.ssl-images-amazon.com/images/I/41xnnWikuWL._SY300_SX300_QL70_ML2_.jpg,KODAK,Kodak,65CA0101,2021.0,83 x 147 x 13 cm; 25.5 Kilograms,65CA0101,1.75 GB,Android,"USB, HDMI",Mali - 450,3840x2160 Pixels,"1 LED TV, 1 Wall Mount, 2 Table Stand Base, 1 User Manual, 1 Warranty Card, 1 Remote Control, 2 AAA Battery",1.0,LED,65 Inches,A+,JPEG,3840 x 2160 pixels,Surround,"MP3, MPEG1/2/2.5, AAC,HEAAC,ASF, Wma",Dolby Digital Plus | DTS TruSurround,Corded Electric,Yes,60 Hz,Wi-Fi,Wall mount;table mount,Yes,India,25 kg 500 g,Kodak 164 cm (65 inches) 4K Ultra HD Smart LED TV 65CA0101 (Black) (2021 Model) | With Dolby Digital Plus & DTS Tru Surround  ,4.4 out of 5 stars,"54,999",https://amazon.in/Kodak-inches-65CA0101-Digital-Surround/dp/B08XXB449F/ref=sr_1_141?keywords=tv&qid=1660812304&sr=8-141,,,,16:09,500000:1,30 Watts,Yes,Zinc Carbon,,Yes,,DVB-T2,,"One Click Netfix, Amazon Prime, Youtube Video & Google Play Button Remote | Google Assistant",,,,30 Watts,,,,8 Milliseconds,No,,,,,,,,,,,,,,,,,,
181,62,https://images-eu.ssl-images-amazon.com/images/I/51CCCa4fCSL._SY300_SX300_QL70_ML2_.jpg,Sony,Sony,XR-65A80K,2022.0,144.8 x 5.3 x 83.6 cm; 23 Kilograms,XR-65A80K,,Android,"Ethernet, Composite Video, Bluetooth 5",XR Cognitive Processor,3840 x 2160 Pixels,"1 LED TV, 1 Warranty Card,1 AC Adapter, 1 AC Power Cord, 1 Remote Control, 1 Table-Top Stand, 1 User Manual, 2 AAA Batteries",1.0,LED,65 Inches,4K HDR,"TIFF, JPEG",,Surround,"Mp3_audio, Wma",Dolby Atmos,AC,Yes,120 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount & Table Mount,Yes,India,23 kg,Sony Bravia 164 cm (65 inches) XR Series 4K Ultra HD Smart OLED Google TV XR-65A80K (Black)  ,4.7 out of 5 stars,"2,56,490",https://amazon.in/Sony-Bravia-inches-Google-XR-65A80K/dp/B09ZLNLDV5/ref=sr_1_142?keywords=tv&qid=1660812304&sr=8-142,2 AAA batteries required. (included),,178 Degrees,16:09,,50 Watts,Yes,Alkaline,2.0,Yes,Bravia,DVB-T,Google TV | Watchlist | Voice Search | Google Play | Chromecast | Netflix | Amazon Prime Video | Additional Features: Apple Airplay | Apple Homekit | Alexa,One Click Google Assistant | Youtube | Netflix | Youtube Music | Prime Video,"IR, Bluetooth",,240 Volts,230 Watts,5 Feet,178 Degrees,"AVI, MPEG",,No,"Android Phone, Home theatre, IPhone",120 Hz,,,,,,,,,,,,,,,,
182,63,https://images-eu.ssl-images-amazon.com/images/I/51VFRgaHbQL._SX300_SY300_QL70_ML2_.jpg,LG,LG Electronics India Pvt. Ltd.,65UQ7500PSF,2022.0,8.8 x 146.3 x 85 cm; 21.3 Kilograms,65UQ7500PSF,1.5 GB,WebOS,"HDMI, USB 2.0, Bluetooth 5",LG Graphics Processor,3840x2160 Pixels,"1 UHD 4K TV, 1 Table Top Stand, 1 User Manual, 1 Warranty Card, 1 Remote Control, 2 Batteries",1.0,LED,65 Inches,4K Upscaler,"GIF, JPEG",,Stereo,"AC4, AC3(Dolby Digital), EAC3, HE-AAC, AAC, MP2, MP3, PCM, DTS, DTS-HD, DTS Express, WMA, apt-X, WMV,ASF,AVI,MP4,M4V,MOV,MPG,MPEG,MKV,MPEG,DAT,MTS,TS,TP,TRP,DIVX,MKV,RM",2.0 Ch Speaker | Bluetooth Surround Ready,AC,No,60 Hz,"Bluetooth, Wi-Fi, USB, HDMI",Wall Mount,Yes,India,21 kg 300 g,LG 164 cm (65 inches) 4K Ultra HD Smart LED TV 65UQ7500PSF (Ceramic Black)  ,4.3 out of 5 stars,"79,990",https://amazon.in/LG-inches-Ultra-65UQ7500PSF-Ceramic/dp/B0B3XZ93V5/ref=sr_1_143?keywords=tv&qid=1660812304&sr=8-143,2 AA batteries required. (included),8 GB,178 Degrees,16:09,1100:1,20 Watts,Yes,Alkaline,1.0,Yes,UHD TV,DVB-T2,"WebOS 22 with User Profiles | Filmmaker Mode, HDR 10 Pro & HLG | Game Optimizer, ALLM, HGIG Mode | Unlimited OTT Apps | AI Brightness Control, 4K Upscaling & AI Sound (Virtual Surround 5.1 up-mix)","Hot Keys to Prime Video, Netflix, Disney + Hotstar",IR Blaster,AI Brightness,130 Volts,195 Watts,8 Feet,178 Degrees,,,No,,,,,,,,,,,,,,,,,,
183,64,https://images-eu.ssl-images-amazon.com/images/I/51z3WdjMKVL._SY300_SX300_QL70_ML2_.jpg,TCL,Bhagwati Products Ltd.,55P615,2020.0,123.8 x 4.7 x 71.7 cm; 11 Kilograms,55P615,2,Android,"USB, HDMI",Mali4703 600MHz~800MHz,3840x2160 Pixels,"1 LED TV, 1 Table Top Stand, 1 Wall Mount Bracket, 1 User Manual, 1 Warranty Card, 1 Remote Control, 2 AAA Batteries",1.0,LED,55 Inches,A+,JPEG,3840 x 2160 pixels,Surround,"Mp3_audio, Wma",Dolby Audio,AC,Yes,60 hertz,Wi-Fi,,Yes,India,11 kg,TCL 139 cm (55 inches) 4K Ultra HD Certified Android Smart LED TV 55P615 (Black)  ,4.3 out of 5 stars,"43,990",https://amazon.in/TCL-inches-Certified-Android-55P615/dp/B08FD3269H/ref=sr_1_144?keywords=tv&qid=1660812304&sr=8-144,2 AAA batteries required. (included),,,16:9,5000:1,,Yes,Lithium Ion,,,P615 4K Android,DVB-T2/NTSC/PAL/SECAM,,"One Click button access to Netflix, Zee 5 and Prime Video",,,,24 Watts,,,,6.5 Milliseconds,,,,,,,,,,,,,,,,,,,
184,65,https://images-eu.ssl-images-amazon.com/images/I/512qfz0MI0L._SX300_SY300_QL70_ML2_.jpg,Kodak,Kodak,50CA7077,2021.0,65 x 113 x 12 cm; 13.5 Kilograms,50CA7077,1.75 GB,Android,"HDMI, Bluetooth 5, USB 2.0",Mali - 450,3840x2160 Pixels,"1 LED TV, 1 Wall Mount, 2 Table Stand Base, 1 User Manual, 1 Warranty Card, 1 Remote Control, 2 AAA Battery",1.0,LED,50 Inches,A+,JPEG,3840 x 2160 pixels,Surround,"MP3, MPEG1/2/2.5, AAC,HEAAC,ASF, Wma",Dolby Digital Plus | DTS TruSurround,Corded Electric,Yes,60 Hz,Wi-Fi,Wall mount;table mount,Yes,India,13 kg 500 g,Kodak 126 cm (50 inches) 4K Ultra HD Smart LED TV 50CA7077 (Black) (2021 Model) | With Dolby Digital Plus & DTS Tru Surround  ,4.4 out of 5 stars,"30,999",https://amazon.in/Kodak-inches-50CA7077-Digital-Surround/dp/B08XXCFY9X/ref=sr_1_145?keywords=tv&qid=1660812304&sr=8-145,,8 GB,178 Degrees,16:09,500000:1,30 Watts,Yes,Zinc Carbon,2.0,Yes,,DVB-T2,"Android 10 | Netflix | Dolby Digital Plus |Google Assistance | DTS TruSurround Sound | HDR 10 | MEMC Technology | Prime Video | Disney+Hotstar and more | Smart Remote | Bezel-Less Design | Other Supported Applications : Youtube, SonyLiv, Hungama, JioCinema, Zee5, Eros Now, Oxygen Play","One Click Netfix, Amazon Prime, Youtube Video & Google Play Button Remote | Google Assistant","Bluetooth, Voice Control",550 nits,,30 Watts,9 Feet,178 Degrees,"AVI, MPEG",8 Milliseconds,No,,,,,,,,,,,,,,,,,,
185,66,https://images-eu.ssl-images-amazon.com/images/I/51pet68bExL._SY300_SX300_QL70_ML2_.jpg,Samsung,Samsung India Pvt Ltd,QA65LS03BAKLXL,2022.0,26.1 x 145.7 x 86.9 cm; 22.8 Kilograms,QA65LS03BAKLXL,2.5 GB,Tizen,"USB, HDMI",Quantum Processor 4K,3840x2160 Pixels,"1 LED TV, 1 Power Cord, 1 Remote control, 2 Stand-Top (Table Top will be Provided at the time on installation)",1.0,QLED,65 Inches,HDR 10+,"GIF, JPEG",3840 x 2160 pixels,Surround,"Mp3_audio, Wma",Dolby Digital Plus,AC,No,100 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount,Yes,India,22 kg 800 g,Samsung 163 cm (65 inches) The Frame Series 4K Smart QLED TV QA65LS03BAKLXL (Black)  ,4.1 out of 5 stars,"1,26,340",https://amazon.in/Samsung-inches-Frame-Smart-QA65LS03BAKLXL/dp/B09Y64NM41/ref=sr_1_146?keywords=tv&qid=1660812304&sr=8-146,,16 GB,178 Degrees,16:09,,40 Watts,No,,2.0,Yes,QA65LS03BAKLXL,DVB-T,"Neo Quantum Processor 4K , One Billion Color , PQI , Quantum HDR 24x , Certified(HDR10+ Adaptive & HDR10+ GAMING) , Expert Calibration , AI Upscale ,100% Colour Volume with Quantum Dot, PQI 4500 , Motion Xcelerator Turbo Pro, AI Upscale , Auto Game Mode (ALLM) , Game Motion Plus , Auto Game Mode (ALLM)","Voice Assistant Key | Hotkey for Prime Video, Netflix and Zee5",Bluetooth,High Brightness,215 Volts,40 Watts,22 Feet,178 Degrees,"AVI, MPEG",,,,,,,,,,,,,,,,,,,,
186,67,https://images-eu.ssl-images-amazon.com/images/I/41JJXIoMyNL._SY300_SX300_QL70_ML2_.jpg,Sony,Sony,KD-43X80K,2022.0,96.4 x 6.9 x 56.3 cm; 10.1 Kilograms,KD-43X80K,,Android,"Ethernet, Composite Video, Bluetooth 5",X1 4K HDR Processor,3840 x 2160 Pixels,"1 LED TV, 1 Warranty Card,1 AC Adapter, 1 AC Power Cord, 1 Remote Control, 1 Table-Top Stand, 1 User Manual, 2 AAA Batteries",1.0,LED,43 Inches,4K HDR | Motion Flow XR200,"TIFF, JPEG",3840 x 2160 pixels,Two channel linear,"Mp3_audio, Wma",Dolby Atmos,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount & Table Mount,Yes,India,10 kg 100 g,Sony Bravia 108 cm (43 inches) 4K Ultra HD Smart LED Google TV KD-43X80K (Black)  ,4.8 out of 5 stars,"68,390",https://amazon.in/Sony-Bravia-inches-Google-KD-43X80K/dp/B09ZLPGSQ1/ref=sr_1_148?keywords=tv&qid=1660812304&sr=8-148,2 AAA batteries required. (included),,178 Degrees,16:09,,20 Watts,Yes,Alkaline,2.0,Yes,Bravia,DVB-T,"Google TV, Watchlist, Voice Search, Google Play, Chromecast | Supported Apps : Netflix, Amazon Prime Video, Additional Features: Apple Airplay, Apple Homekit, Alexa",One Click Google Assistant | Youtube | Netflix | Youtube Music | Prime Video,"IR, Bluetooth",High Brightness,240 Volts,205 Watts,3 Feet,178 Degrees,"AVI, MPEG",,No,"Android Phone, Home theatre, IPhone",60 Hz,,,,,,,,,,,,,,,,
187,68,https://images-eu.ssl-images-amazon.com/images/I/41gz9JZLQpL._SY300_SX300_QL70_ML2_.jpg,Coocaa,Radiant Appliances and Electronics Pvt Ltd,55Y72,2022.0,122.5 x 23.3 x 77.6 cm; 10.2 Kilograms,55Y72,2 GB,Android,,Mali-450 GPU,3840x2160 Pixels,"1 Led TV, 1 Wallmount,1 Remote,1 Power Cord,1 Start Guide,1 Warranty Card,2 Batteries,1 Base Stands,4 Screws",1.0,LED,55 Inches,IPS,"GIF, JPEG",,Surround,"Mp3_audio, Wma",DTS Surround | Dolby Audio,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount & Table Top,Yes,India,10 kg 200 g,Coocaa 138 cm (55 inches) Frameless Series 4k Ultra HD Smart Certified Android IPS Google LED TV 55Y72 (Black)  ,3.6 out of 5 stars,"39,999",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg9_1?ie=UTF8&adId=A05501107E9CDXMXKF91&url=%2FCoocaa-Frameless-Certified-Android-55Y72%2Fdp%2FB0B45V22TX%2Fref%3Dsr_1_149_sspa%3Fkeywords%3Dtv%26qid%3D1660812304%26sr%3D8-149-spons%26psc%3D1&qualifier=1660812304&id=2580454899340885&widgetName=sp_btf,2 AAA batteries required. (included),16 GB,178 Degrees,16:09,4000:1,30 Watts,Yes,Lithium Ion,2.0,Yes,55Y72,PAL,"Personalised for you | Google Duo Supported | Web Touch Remote | Remote with Voice Assistant | HDR 10 | Chameleon Extreme 2.0 Picture Engine | Supported Applications : Netflix, Prime Video, Disney+Hotstar, Sonly Live, Zee5, Youtube",One Click Google Assistant | Prime Video | Youtube | Netflix | GooglePlay,"IR, Bluetooth",High Brightness,200 Volts,150 Watts,15 Feet,178 Degrees,"AVI, MPEG",8 Milliseconds,No,"Android, Iphone",,,,,,,,,,,,,,,,,
188,69,https://images-eu.ssl-images-amazon.com/images/I/41Q5zqyjWPL._SY300_SX300_QL70_ML2_.jpg,Karbonn,"Westway Electronics Limited, A001D, Sector-84, Noida, G.B Nagar, Uttar Pradesh, 201305",KJW32SKHD,2021.0,72.2 x 8 x 42.5 cm; 4.4 Kilograms,KJW32SKHD,1 GB,Android,"USB, HDMI",Mali-G31MP2,1366x768 Pixels,"1 LED TV, 2 Table Stand Base, 1 Wall Mounting Set, 4 Screws, 1 User Manual, 1 Warranty Card, 1 Remote Control, 2 AAA Battery",1.0,LED,32 Inches,A+,"GIF, JPEG",,,"Mp3_audio, Wma",Sorround,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount & Table Mount,No,India,4 kg 400 g,Karbonn 80 cm (32 Inches) Millennium Series HD Ready Smart LED TV KJW32SKHD (Phantom Black) with Bezel-Less Design  ,4.4 out of 5 stars,"8,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg9_1?ie=UTF8&adId=A03301052HG8ZJO86QMJ4&url=%2FKarbonn-Millennium-KJW32SKHD-Phantom-Bezel-Less%2Fdp%2FB0B466C3G4%2Fref%3Dsr_1_150_sspa%3Fkeywords%3Dtv%26qid%3D1660812304%26sr%3D8-150-spons%26psc%3D1&qualifier=1660812304&id=2580454899340885&widgetName=sp_btf,2 AAA batteries required. (included),8 GB,178 Degrees,16:09,3000:1,20 Watts,Yes,Manganese,2.0,Yes,KJW32SKHD,NTSC,"Prime Video, Inbuilt App Store, SonyLiv, Youtube, Hotstar, Android 9 (GOS), In-built Apps Store, Screen Sharing, Remote with Hotkeys, Movie Box | Supported Apps : Netflix",Navigation Keys for Easy Access,IR,High brightness,110 Volts,60 Watts,9 Feet,178 Degrees,"AVI, MPEG",8 Milliseconds,No,Android,60 Hz,,,,,,,,,,,,,,,,
189,70,https://images-eu.ssl-images-amazon.com/images/I/41Ct5X8apmL._SY300_SX300_QL70_ML2_.jpg,CROMA,Veira Electronics Pvt.Ltd,CREL055USA024601,2022.0,123 x 27 x 77 cm; 7.3 Kilograms,CREL055USA024601,1.5 GB,Linux,"USB, HDMI, Headphone",,3840x2160 Pixels,"1 LED TV, 2 Table Top Stand, 1 User Manual, 1 Remote Control, 1 Wall Mount",1.0,LED,55 Inches,LED,,3840 x 2160 pixels,,,2.0,Corded Electric,No,60 Hz,HDMI,Wall Mount and Table Mount,,India,7 kg 300 g,Croma 140 cm (55 Inches) 4K Ultra HD Smart LED TV CREL055USA024601 (Black) (2022 Model)  ,3.7 out of 5 stars,"33,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg10_1?ie=UTF8&adId=A00622812JTLJYZC7002G&url=%2FCroma-Inches-Ultra-Smart-CREL055USA024601%2Fdp%2FB0B17FHC54%2Fref%3Dsr_1_145_sspa%3Fkeywords%3Dtv%26qid%3D1660812307%26sr%3D8-145-spons%26psc%3D1&qualifier=1660812307&id=474073082653368&widgetName=sp_atf_next,2 AAA batteries required. (included),8 GB,178 Degrees,16:9,5000:01,20 Watts,Yes,Alkaline,2.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,71,https://images-eu.ssl-images-amazon.com/images/I/417CDbPCDWL._SY300_SX300_QL70_ML2_.jpg,AmazonBasics,"Veira Electronics Private Limited D-239, SEC-63, NOIDA (U.P.) 201305",AB32E10SS,2020.0,73.2 x 8.3 x 43.9 cm; 3.65 Kilograms,AB32E10SS,1 GB,FireOS,"USB, HDMI",Mali450 Quad core,1366x768 Pixels,"1 LED TV, 1 Table Top Stand, 1 Wall Mount, 1 User Manual, 1 Remote Control, 2 AAA Batteries, 1 Power Cord, 1 AV Converting cable",1.0,LED,32 Inches,LED,JPEG,1366 x 768 pixels,Surround,"Dolby Audio and DTS TruSurround, WMA, MP3_audio",Surround Sound,AC,Yes,60 Hz,Wi-Fi,Wall Mount,Yes,India,3 kg 650 g,AmazonBasics 81 cm (32 inches) HD Ready Smart LED Fire TV AB32E10SS (Black)  ,4.0 out of 5 stars,"13,499",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg10_1?ie=UTF8&adId=A07230511XJVOGA7KXX4I&url=%2FAmazonBasics-80cm-inch-Smart-LED%2Fdp%2FB087JX4TT4%2Fref%3Dsr_1_146_sspa%3Fkeywords%3Dtv%26qid%3D1660812307%26sr%3D8-146-spons%26psc%3D1&qualifier=1660812307&id=474073082653368&widgetName=sp_atf_next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,72,https://images-eu.ssl-images-amazon.com/images/I/41SdoYVFckL._SY300_SX300_QL70_ML2_.jpg,IFFALCON,Bhagwati Products Ltd,,2021.0,112.2 x 26.5 x 70.5 cm; 9.4 Kilograms,,2 GB,Android,"USB, HDMI",G31x2,3840x2160 Pixels,"1 LED TV, 1 Table Top Stand, 1 User Manual, 1 Warranty Card, 1 Remote Control, 2 AAA Batteries",1.0,LED,50 Inches,HDR,"BMP, GIF, PNG, JPEG",3840 x 2160 pixels,,"Mp3_audio, Wma",Dolby Audio,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount,Yes,India,9 kg 400 g,iFFALCON 126 cm (50 inches) 4K Ultra HD Smart Certified Android LED TV 50K72 (Black)  ,4.3 out of 5 stars,"36,999",https://amazon.in/iFFALCON-inches-Ultra-Certified-Android/dp/B09X1KPWSB/ref=sr_1_147?keywords=tv&qid=1660812307&sr=8-147,2 AAA batteries required. (included),16 GB,178 Degrees,16:09,5000:1,24 Watts,Yes,Alkaline,2.0,Yes,,DVB-T2,"Hands-Free Voice Control | 4K Android TV + HDR | Android R-11| AI-IN | T-cast | Apps: Netflix, Youtube, Prime Video & 7000+ Apps",Smart remote with Dedicated Hotkeys for quick and easy access,"IR, Bluetooth",High Brightness,240 Volts,110 Watts,9 Feet,178 Degrees,"AVI, MPEG",8 Milliseconds,No,,,,,,,,,,,,,,,,,,
192,73,https://images-eu.ssl-images-amazon.com/images/I/51kWMkGfSOL._SY300_SX300_QL70_ML2_.jpg,Samsung,Samsung India Pvt Ltd,QA43LS03AAKLXL,2021.0,19.7 x 97 x 59.2 cm; 8.9 Kilograms,QA43LS03AAKLXL,2.5 GB,Tizen,"USB, HDMI",,3840x2160 Pixels,"1N LED TV, 1N Power Cord, 1N Remocon, 2N Stand-Top, 1N OC",1.0,QLED,43 Inches,Quantum HDR + HDR 10+,JPEG,3840 x 2160 pixels,Surround,"Mp3_audio, Wma",Dolby Digital Plus,AC,No,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount,Yes,India,8 kg 900 g,Samsung 108 cm (43 inches) The Frame Series 4K Ultra HD Smart QLED TV QA43LS03AAKLXL (Black)  ,4.1 out of 5 stars,"52,490",https://amazon.in/Samsung-inches-Frame-Ultra-QA43LS03AAKLXL/dp/B095P9WB6R/ref=sr_1_148?keywords=tv&qid=1660812307&sr=8-148,,16 GB,178 Degrees,16:09,,20 Watts,,,2.0,Yes,QA43LS03AAKLXL,DVB-T2,"Voice Assistants | Tap View | Multi View| PC Mode | Universal Guide | Auto Game Mode & Game Motion Plus | Super Ultra Wide Game View & Game Bar | Web Browser | Screen Mirroring | Supported Applications : Prime Video, Hotstar, Netflix, Zee5 and many more","One Click Amazon Prime Video, Netflix and Samsug TV Plus Button Remote| Bixby and Alexa Voice Assistant",Bluetooth | Voice Assistants,,,20.00,9 Feet,,"AVI, MPEG",,,,,,,,,,,,,,,,,,,,
193,74,https://images-eu.ssl-images-amazon.com/images/I/51CCCa4fCSL._SY300_SX300_QL70_ML2_.jpg,Sony,Sony,XR-55A80K,2022.0,122.7 x 5.3 x 71.2 cm; 17.9 Kilograms,XR-55A80K,,Android,"Ethernet, Composite Video, Bluetooth 5",XR Cognitive Processor,3840 x 2160 Pixels,"1 LED TV, 1 Warranty Card,1 AC Adapter, 1 AC Power Cord, 1 Remote Control, 1 Table-Top Stand, 1 User Manual, 2 AAA Batteries",1.0,LED,55 Inches,4K HDR,"TIFF, JPEG",,Surround,"Mp3_audio, Wma",Dolby Atmos,AC,Yes,120 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount & Table Mount,Yes,India,17 kg 900 g,Sony Bravia 139 cm (55 inches) XR Series 4K Ultra HD Smart OLED Google TV XR-55A80K (Black)  ,4.7 out of 5 stars,"1,84,290",https://amazon.in/Sony-Bravia-inches-Google-XR-55A80K/dp/B09ZLMV9V4/ref=sr_1_149?keywords=tv&qid=1660812307&sr=8-149,2 AAA batteries required. (included),,178 Degrees,16:09,,50 Watts,Yes,Alkaline,2.0,Yes,Bravia,DVB-T,Google TV | Watchlist | Voice Search | Google Play | Chromecast | Netflix | Amazon Prime Video | Additional Features: Apple Airplay | Apple Homekit | Alexa,One Click Google Assistant | Youtube | Netflix | Youtube Music | Prime Video,"IR, Bluetooth",,240 Volts,306 Watts,4.5 Feet,178 Degrees,"AVI, MPEG",,No,"Android Phone, Home theatre, IPhone",120 Hz,,,,,,,,,,,,,,,,
194,75,https://images-eu.ssl-images-amazon.com/images/I/41neEcXJ6iL._SY300_SX300_QL70_ML2_.jpg,Hisense,Hisense,55A73F,2020.0,123.6 x 22.6 x 80.4 cm; 13 Kilograms,55A73F,,Android,"USB, HDMI",,3840x2160 Pixels,"1 LED TV, 1 Remote, 2 AAA Battery, 1 User Manual, 1 Warranty Card, 1 Table Top Stand, 1 Wall Mount Bracket",1.0,LED,55 Inches,A+,,3840 x 2160 pixels,,,"Dolby Atmos, JBL Speakers",AC,No,60 Hz,"Bluetooth, Wi-Fi, USB, Ethernet, HDMI",,,India,13 kg,Hisense 139 cm (55 inches) 4K Ultra HD Smart Certified Android LED TV 55A73F (Black)  ,4.3 out of 5 stars,"44,990",https://amazon.in/Hisense-Certified-Android-55A73F-Speaker/dp/B08MM4LK85/ref=sr_1_150?keywords=tv&qid=1660812307&sr=8-150,2 AAA batteries required. (included),,,16:9,5000:1,,Yes,Alkaline,,Yes,,DVB-T2/C/PAL/SECAM,,"Smart remote with Hotkeys for quick and easy access | Google Assistant, get more done with your voice",,,230 Volts,102 Watts,,,,8 Milliseconds,No,,,,,,,,,,,,,,,,,,
195,76,https://images-eu.ssl-images-amazon.com/images/I/41QOZ7RhwjL._SY300_SX300_QL70_ML2_.jpg,BUSH android,BUSH android,40SFLMAX,2022.0,95 x 15 x 62 cm; 12 Kilograms,40SFLMAX,1 GB,SmartCast OS,"USB, Ethernet, HDMI",,19201080 Pixels,"REMOTE ,",1.0,LED,40 Inches,LED,,,Surround,"MP3, Avi, Mp3_audio",2,AC,,60 Hz,"USB, Ethernet, HDMI",Wall Mount,No,India,12 kg,BUSH android 98 cm (40 Inches) Full HD Ready Certified Smart LED TV 40SFLMax(Black) (2022 Model)  ,1.7 out of 5 stars,"14,998",https://amazon.in/BUSH-android-Inches-Certified-40SFLMax/dp/B0B5HDCFRF/ref=sr_1_151?keywords=tv&qid=1660812307&sr=8-151,,1 GB,178 Degrees,16:9,2000000:1,,,,2.0,Yes,40SFLMAX,PAL,Flat,IR,,,220 Volts,75 Watts,8 Feet,178 Degrees,,8 Milliseconds,No,,60 Hz,,,,,1920 Pixels,,,,,,,,,,,
196,77,https://images-eu.ssl-images-amazon.com/images/I/51z3WdjMKVL._SY300_SX300_QL70_ML2_.jpg,TCL,Mirc Electronics Ltd,43P615,2021.0,96.8 x 25.2 x 65.2 cm; 6.75 Kilograms,43P615,2,Android,"USB, HDMI",Mali4703 600MHz~800MHz,3840x2160 Pixels,"1 LED TV, 1 Table Top Stand, 1 Wall Mount Bracket, 1 User Manual, 1 Warranty Card, 1 Remote Control, 2 AAA Batteries",1.0,LED,43 Inches,A+,JPEG,3840 x 2160 pixels,Surround,"Mp3_audio, Wma",Dolby Audio,AC,No,60 hertz,Wi-Fi,Wall Mount & Table Mount,Yes,India,6 kg 750 g,TCL 108 cm (43 inches) 4K Ultra HD Certified Android Smart LED TV 43P615 (Black)  ,4.3 out of 5 stars,"31,990",https://amazon.in/TCL-inches-Certified-Android-43P615/dp/B08FD2VSD9/ref=sr_1_152?keywords=tv&qid=1660812307&sr=8-152,2 AAA batteries required.,,,16:9,5000:1,,No,Lithium Ion,1.0,,P615 4K Android,DVB-T2/NTSC/PAL/SECAM,Google Assistant | 4K Android TV + HDR 10 | AI-IN | T-cast | Bluetooth 5.0 | Android P,"One Click button access to Netflix, Zee 5 and Prime Video","IR, Bluetooth",,,24 Watts,8 Feet,,"AVI, DVD, MPEG, WAV, WMA",9.5 Milliseconds,,,,,,,,,,,,,,,,,,,
