product,rating,price,product_url
Samsung 108 cm (43 inches) The Frame Series 4K Smart QLED TV QA43LS03BAKLXL (Black)  ,4.1 out of 5 stars,"65,990",https://amazon.in/Samsung-inches-Frame-Smart-QA43LS03BAKLXL/dp/B09Y66FBDF/ref=sr_1_237?keywords=tv&qid=1660812320&sr=8-237
Westinghouse 126 cm (50 inches) 4K Ultra HD Certified Android LED TV WH50UD82 (Black)  ,4.1 out of 5 stars,"27,999",https://amazon.in/Westinghouse-inches-Certified-Android-WH50UD82/dp/B09TPM2F68/ref=sr_1_239?keywords=tv&qid=1660812320&sr=8-239
iMee 80cm (32 inch) Premium Series Smart Android HD LED TV with SRS Surround Sound - BEE 5 Star Rated Energy Efficient (White Colour)  ,5.0 out of 5 stars,"9,999",https://amazon.in/Premium-Smart-Android-Surround-Sound/dp/B09SG94KXK/ref=sr_1_242?keywords=tv&qid=1660812320&sr=8-242
Karbonn 80 cm (32 Inches) Millennium Series HD Ready Smart LED TV KJW32SKHD (Phantom Black) with Bezel-Less Design  ,4.4 out of 5 stars,"8,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg15_1?ie=UTF8&adId=A03301052HG8ZJO86QMJ4&url=%2FKarbonn-Millennium-KJW32SKHD-Phantom-Bezel-Less%2Fdp%2FB0B466C3G4%2Fref%3Dsr_1_245_sspa%3Fkeywords%3Dtv%26qid%3D1660812320%26sr%3D8-245-spons%26psc%3D1&qualifier=1660812320&id=293584657745250&widgetName=sp_btf
Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X74K (Black)  ,4.8 out of 5 stars,"86,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg15_1?ie=UTF8&adId=A03768442EQ5K80ORFOW4&url=%2FSony-Bravia-inches-Google-KD-65X74K%2Fdp%2FB09WN3SRC7%2Fref%3Dsr_1_246_sspa%3Fkeywords%3Dtv%26qid%3D1660812320%26sr%3D8-246-spons%26psc%3D1&qualifier=1660812320&id=293584657745250&widgetName=sp_btf
AmazonBasics 81 cm (32 inches) HD Ready Smart LED Fire TV AB32E10SS (Black)  ,4.0 out of 5 stars,"13,499",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg16_1?ie=UTF8&adId=A07230511XJVOGA7KXX4I&url=%2FAmazonBasics-80cm-inch-Smart-LED%2Fdp%2FB087JX4TT4%2Fref%3Dsr_1_241_sspa%3Fkeywords%3Dtv%26qid%3D1660812323%26sr%3D8-241-spons%26psc%3D1&qualifier=1660812323&id=743027007546556&widgetName=sp_atf_next
Coocaa 138 cm (55 inches) Frameless Series 4k Ultra HD Smart Certified Android IPS Google LED TV 55Y72 (Black)  ,3.6 out of 5 stars,"39,999",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg16_1?ie=UTF8&adId=A05501107E9CDXMXKF91&url=%2FCoocaa-Frameless-Certified-Android-55Y72%2Fdp%2FB0B45V22TX%2Fref%3Dsr_1_242_sspa%3Fkeywords%3Dtv%26qid%3D1660812323%26sr%3D8-242-spons%26psc%3D1&qualifier=1660812323&id=743027007546556&widgetName=sp_atf_next
iFFALCON 109 cm (43 inches) Full HD Smart LED TV 43F52 (Black)  ,4.0 out of 5 stars,"20,890",https://amazon.in/iFFALCON-inches-Smart-TV-43F52-Black/dp/B09MWB2HPM/ref=sr_1_243?keywords=tv&qid=1660812323&sr=8-243
TCL 139 cm (55 inches) 4K Ultra HD Smart Certified Android LED TV 55P725 (Black)  ,3.8 out of 5 stars,"44,999",https://amazon.in/TCL-Certified-Android-55P725-2021Model/dp/B09H4RTVV7/ref=sr_1_246?keywords=tv&qid=1660812323&sr=8-246
Kodak 139 cm (55 inches) 4K Ultra HD Certified Android LED TV 55UHDX7XPRO (Black)  ,4.1 out of 5 stars,"32,999",https://amazon.in/Kodak-Inches-Certified-Android-55UHDX7XPRO/dp/B08CS2SRVR/ref=sr_1_247?keywords=tv&qid=1660812323&sr=8-247
Hisense 189 cm (75 inches) Bezelless Series 4K Ultra HD Smart LED Google TV 75A6H (Black)  ,4.3 out of 5 stars,"1,04,990",https://amazon.in/Hisense-inches-Bezelless-Google-75A6H/dp/B0B2BXYQ59/ref=sr_1_249?keywords=tv&qid=1660812323&sr=8-249
NVY 80 cm (32 inch) HD Ready Smart LED TV | NVA32SFR1 (Black) (2022 Model) with Android 9.0  ,4.4 out of 5 stars,"10,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg16_1?ie=UTF8&adId=A06313891JMLU6VY8N7AD&url=%2FNVY-32-TV-NVA32SFR1-Android%2Fdp%2FB09WDZNLN9%2Fref%3Dsr_1_251_sspa%3Fkeywords%3Dtv%26qid%3D1660812323%26sr%3D8-251-spons%26psc%3D1&qualifier=1660812323&id=743027007546556&widgetName=sp_mtf
