id,brand,series,weight,ram,price,graphics,disk,battery,display,processor,max_memory,url,image_url,rating
34,HP,,1.75,16.0,67000,,512.0,4.0,15.6,4.2,16.0,https://amazon.in/HP-Pavilion-Anti-Glare-Fingerprint-15-eh1108AU/dp/B09HV3WT9J/ref=sr_1_99?keywords=laptop&qid=1656489495&sr=8-99,https://images-eu.ssl-images-amazon.com/images/I/41R2RA5Pq7L._SX300_SY300_QL70_ML2_.jpg,4.5 out of 5 stars
35,ASUS,,1.6,8.0,34118,8.0,256.0,6.0,15.984251968503937,3.4,12.0,https://amazon.in/ASUS-VivoBook-i3-1005G1-Integrated-X415JA-BV311WS/dp/B09RQKJXNW/ref=sr_1_100?keywords=laptop&qid=1656489495&sr=8-100,https://images-eu.ssl-images-amazon.com/images/I/41H42FebSmL._SX300_SY300_QL70_ML2_.jpg,4.7 out of 5 stars
36,ASUS,FA506IHRB-HN079W,2.3,,59990,8.0,512.0,,17.79527559055118,4.0,32.0,https://amazon.in/ASUS-15-6-inch-GeForce-GTX-Windows-FA506IHRB-HN079W/dp/B09ZXPNJYQ/ref=sr_1_101?keywords=laptop&qid=1656489495&sr=8-101,https://images-eu.ssl-images-amazon.com/images/I/41LDfnScXZS._SX300_SY300_QL70_ML2_.jpg,2.9 out of 5 stars
37,Lenovo,,2.3,8.0,60889,4.0,1024.0,6.8,15.6,3.0,16.0,https://amazon.in/Lenovo-Windows-Graphics-Phantom-82B500BHIN/dp/B08GG8WCW7/ref=sr_1_102?keywords=laptop&qid=1656489495&sr=8-102,https://images-eu.ssl-images-amazon.com/images/I/5174QzS5xDL._SX300_SY300_QL70_ML2_.jpg,4.5 out of 5 stars
38,ASUS,X415EA-EB572TS,1.6,8.0,48890,,1024.0,,15.984251968503937,4.2,12.0,https://amazon.in/ASUS-VivoBook-i5-1135G7-Integrated-X415EA-EB572TS/dp/B09BF65Z1V/ref=sr_1_103?keywords=laptop&qid=1656489495&sr=8-103,https://images-eu.ssl-images-amazon.com/images/I/41DHBo5r6hL._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars
39,HP,,1.75,8.0,54999,4.0,512.0,6.0,15.6,4.0,16.0,https://amazon.in/HP-Pavilion-Micro-Edge-Anti-Glare-15-eh1101AU/dp/B09DGCZXQB/ref=sr_1_104?keywords=laptop&qid=1656489495&smid=A2JRT5V3UPLILP&sr=8-104,https://images-eu.ssl-images-amazon.com/images/I/41q8qusoglL._SX300_SY300_QL70_ML2_.jpg,4.4 out of 5 stars
40,ASUS,X415KA-BV121WS,1.5,8.0,31490,8.0,256.0,,15.984251968503937,3.3,8.0,https://amazon.in/ASUS-VivoBook-Integrated-Graphics-X415KA-BV121WS/dp/B09RQL2S5F/ref=sr_1_105?keywords=laptop&qid=1656489495&sr=8-105,https://images-eu.ssl-images-amazon.com/images/I/41DHBo5r6hL._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars
41,Dell,,2.0,4.0,23044,,500.0,,13.3,2.9,4.0,https://amazon.in/Renewed-Dell-Latitude-Hybrid-Laptop/dp/B09YS4FYQ6/ref=sr_1_106?keywords=laptop&qid=1656489495&sr=8-106,https://images-eu.ssl-images-amazon.com/images/I/41v5opYG0PL._SX300_SY300_QL70_ML2_.jpg,5.0 out of 5 stars
42,HP,14s-dy2506TU,1.46,8.0,38990,,,,14.015748031496063,3.7,16.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg7_1?ie=UTF8&adId=A0447151V9B07ZBYFE2A&url=%2FHP-Micro-Edge-Anti-Glare-Display-Graphics%2Fdp%2FB09MH9M5CV%2Fref%3Dsr_1_107_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489495%26sr%3D8-107-spons%26psc%3D1&qualifier=1656489495&id=2961859091220469&widgetName=sp_mtf,https://images-eu.ssl-images-amazon.com/images/I/51mDPrTCtgL._SX300_SY300_QL70_ML2_.jpg,4.2 out of 5 stars
43,MSI,Modern 14 B10MW-639IN,1.3,8.0,43990,,512.0,,14.0,4.2,32.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg7_1?ie=UTF8&adId=A08278461IPNMSCOQHVPG&url=%2FMSI-Modern-14-i5-10210U-B10MW-639IN%2Fdp%2FB09NDTFY68%2Fref%3Dsr_1_108_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489495%26sr%3D8-108-spons%26psc%3D1&qualifier=1656489495&id=2961859091220469&widgetName=sp_mtf,https://images-eu.ssl-images-amazon.com/images/I/31N278RUfxL._SX300_SY300_QL70_ML2_.jpg,4.2 out of 5 stars
44,HP,14-dv1002TU,1.41,16.0,66150,,512.0,,14.015748031496063,4.5,16.0,https://amazon.in/HP-Pavilion-Micro-Edge-Anti-Glare-14-dv1002TU/dp/B09KGNKHN8/ref=sr_1_109?keywords=laptop&qid=1656489495&sr=8-109,https://images-eu.ssl-images-amazon.com/images/I/51sAgKGhE5S._SX300_SY300_QL70_ML2_.jpg,4.3 out of 5 stars
45,HP,,1.05,4.0,21490,,64.0,4.0,11.6,2.0,4.0,https://amazon.in/HP-Chromebook-MediaTek-Touchscreen-11a-na0006MU/dp/B09GKP26SV/ref=sr_1_110?keywords=laptop&qid=1656489495&sr=8-110,https://images-eu.ssl-images-amazon.com/images/I/41S6EU3gkpL._SX300_SY300_QL70_ML2_.jpg,3.7 out of 5 stars
46,Dell,,1.8,8.0,41300,,,,15.0,1.2,32.0,https://amazon.in/Dell-i3-1005G1-Office21-39-62Cms-ICC-D585017WIN8/dp/B09VH22CPB/ref=sr_1_111?keywords=laptop&qid=1656489495&sr=8-111,https://images-eu.ssl-images-amazon.com/images/I/418k5GE06KL._SX300_SY300_QL70_ML2_.jpg,5.0 out of 5 stars
